57   46
95   89
82   81
63   57
82   79
74   61
77   66
71   60
83   50
85   81
73   53
63   63
59   73
86   79
75   78
76   71
79   72
61   32
27   19
69   52
55   63
84   77
77   75
56   55
43   58
73   70
76   61
31   22
81   65
99   98
73   65
70   43
44   54
66   65
99   92
87   85
96   92
56   58
75   77
100  95
81   68
87   87
25   17
82   73
69   59
91   99
64   51
73   77
59   41
92   82
63   51
57   79
73   61
79   71
79   65
77   75
84   75
2    0 
80   74
61   57
36   38
72   47
56   70
69   57
79   78
61   74
69   78
96   89
68   64
60   55
70   75
76   70
88   94
55   59
15   0 
87   82
43   37
86   85
47   34
93   77
68   77
62   50
76   71
69   62
93   93
55   48
73   58
61   56
87   73
92   82
29   0 
35   0 
83   89
64   60
65   73
85   73
65   75
56   59
59   56
86   79
73   84
53   56
76   73
88   86
13   0
74   59
85   87
71   63
66   60
53   72
95   91
95   80
40   0
58   0
96   97
59   43
86   71
51   51
84   75
40   33
58   36
88   92
65   74
52   0
52   42
61   45
94   85
95   0
96   93
19    0
70   59
87   75
46   60
96   89
37   30
56   45
90   79
60   53
78   81
93   95
64   58
88   82
62   72
100  94
65   50
12   0
100  94
46   59
96   92
59   77
79   72
71   65
68   51
99   96
89   94
67   68
80   70
92   84
96   87
90   85
72   65
79   71
95   86
97   87
62   44
72   0 
58   56
60   68
71   48
69   65
98   97
94   79
70   76
56   48
